id;d1;d2;cluster
c2g1s1;8.809783;7.611147;0
c2g1s2;4.110747;11.103186;0
c2g1s3;4.11471;11.039587;0
c2g1s4;3.154736;6.743244;0
c2g1s5;5.972931;7.537982;0
c2g1s6;5.330675;7.033010000000001;0
c2g1s7;5.721986;6.1031379999999995;0
c2g1s8;6.040546;6.567276;0
c2g1s9;8.010096;9.235092999999999;0
c2g1s10;8.663637;9.113787;0
c2g1s11;3.3643449999999997;10.19331;0
c2g1s12;4.23395;10.003093;0
c2g1s13;6.545098;9.127085000000001;0
c2g1s14;7.351310000000001;10.731793;0
c2g1s15;6.600897;9.293019000000001;0
c2g1s16;8.227767;7.990697;0
c2g1s17;3.640258;7.066936999999999;0
c2g1s18;2.616746;8.077674;0
c2g1s19;4.698015;7.995143;0
c2g1s20;4.663208999999999;9.719092999999999;0
c2g1s21;6.889547;10.594419;0
c2g1s22;4.474191;8.945727999999999;0
c2g1s23;7.822474000000001;6.546626;0
c2g1s24;5.325493;5.438902;0
c2g1s25;4.271755000000001;7.876889;0
c2g1s26;3.77916;7.9836350000000005;0
c2g1s27;6.642428;7.317616;0
c2g1s28;6.10352;8.246751;0
c2g1s29;8.280682;8.250152;0
c2g1s30;3.8309800000000003;11.027824;0
c2g1s31;6.018994999999999;9.116624;0
c2g1s32;3.9010339999999997;7.045717;0
c2g1s33;8.280581;8.204739;0
c2g1s34;6.219908;5.360467;0
c2g1s35;5.042382;6.955636999999999;0
c2g1s36;3.817093;6.841828;0
c2g1s37;3.9559949999999997;5.919630000000001;0
c2g1s38;6.628717;9.448322000000001;0
c2g1s39;2.8223529999999997;9.205873;0
c2g1s40;6.903825;8.486555000000001;0
c2g1s41;3.363976;9.243669;0
c2g1s42;6.818036;6.262664;0
c2g1s43;4.14466;6.782835;0
c2g1s44;7.572984;6.063416;0
c2g1s45;3.987722;5.900285;0
c2g1s46;4.270626999999999;8.432667;0
c2g1s47;5.926263;8.145282;0
c2g1s48;4.500541;9.591275999999999;0
c2g1s49;5.120171;7.886808;0
c2g1s50;3.026431;8.199161;0
c2g1s51;3.384014;10.567839;0
c2g1s52;5.077119000000001;11.421814;0
c2g1s53;2.5307880000000003;8.254285000000001;0
c2g1s54;3.71645;7.269864999999999;0
c2g1s55;3.5441589999999996;9.030493;0
